,USAF,YR--MODAHRMN,TEMP,MAX,MIN,Celsius
8776,29980,201705010600,44.0,44.0,35.0,7
8788,29980,201705011800,48.0,54.0,43.0,9
8800,29980,201705020600,50.0,50.0,34.0,10
8812,29980,201705021800,53.0,61.0,49.0,12
8824,29980,201705030600,47.0,53.0,38.0,8
8836,29980,201705031800,51.0,57.0,47.0,11
8848,29980,201705040600,45.0,51.0,37.0,7
8860,29980,201705041800,44.0,52.0,44.0,7
8872,29980,201705050600,45.0,45.0,35.0,7
8884,29980,201705051800,58.0,64.0,45.0,14
8896,29980,201705060600,54.0,59.0,44.0,12
8908,29980,201705061800,52.0,59.0,52.0,11
8920,29980,201705070600,43.0,52.0,36.0,6
8932,29980,201705071800,42.0,50.0,42.0,6
8944,29980,201705080600,41.0,42.0,38.0,5
8956,29980,201705081800,38.0,47.0,37.0,3
8968,29980,201705090600,37.0,38.0,33.0,3
8980,29980,201705091800,36.0,41.0,34.0,2
8992,29980,201705100600,39.0,39.0,28.0,4
9004,29980,201705101800,36.0,42.0,33.0,2
9016,29980,201705110600,38.0,38.0,28.0,3
9028,29980,201705111800,40.0,46.0,38.0,4
9040,29980,201705120600,40.0,41.0,29.0,4
9052,29980,201705121800,47.0,52.0,40.0,8
9064,29980,201705130600,47.0,47.0,33.0,8
9076,29980,201705131800,45.0,56.0,44.0,7
9088,29980,201705140600,49.0,49.0,36.0,9
9100,29980,201705141800,52.0,58.0,49.0,11
9112,29980,201705150600,48.0,52.0,47.0,9
9124,29980,201705151800,46.0,59.0,46.0,8
9136,29980,201705160600,41.0,46.0,32.0,5
9147,29980,201705161800,48.0,53.0,42.0,9
9159,29980,201705170600,49.0,49.0,42.0,9
9171,29980,201705171800,51.0,56.0,48.0,11
9183,29980,201705180600,50.0,51.0,47.0,10
9195,29980,201705181800,52.0,59.0,50.0,11
9207,29980,201705190600,56.0,56.0,49.0,13
9219,29980,201705191800,63.0,73.0,56.0,17
9231,29980,201705200600,64.0,64.0,59.0,18
9243,29980,201705201800,61.0,71.0,61.0,16
9255,29980,201705210600,59.0,61.0,49.0,15
9267,29980,201705211800,60.0,65.0,58.0,16
9279,29980,201705220600,54.0,60.0,48.0,12
9291,29980,201705221800,63.0,68.0,54.0,17
9303,29980,201705230600,59.0,63.0,47.0,15
9315,29980,201705231800,55.0,66.0,55.0,13
9327,29980,201705240600,58.0,58.0,49.0,14
9339,29980,201705241800,55.0,62.0,52.0,13
9351,29980,201705250600,55.0,58.0,48.0,13
9363,29980,201705251800,57.0,69.0,54.0,14
9375,29980,201705260600,58.0,58.0,46.0,14
9387,29980,201705261800,62.0,68.0,55.0,17
9399,29980,201705270600,50.0,62.0,44.0,10
9411,29980,201705271800,49.0,54.0,48.0,9
9423,29980,201705280600,50.0,50.0,46.0,10
9435,29980,201705281800,58.0,64.0,50.0,14
9447,29980,201705290600,59.0,59.0,54.0,15
9457,29980,201705291800,55.0,67.0,55.0,13
9469,29980,201705300600,52.0,55.0,40.0,11
9481,29980,201705301800,48.0,56.0,48.0,9
9493,29980,201705310600,49.0,49.0,47.0,9
9505,29980,201705311800,53.0,61.0,49.0,12
9517,29980,201706010600,48.0,53.0,40.0,9
9529,29980,201706011800,44.0,52.0,42.0,7
9541,29980,201706020600,44.0,44.0,36.0,7
9553,29980,201706021800,47.0,49.0,43.0,8
9565,29980,201706030600,48.0,48.0,38.0,9
9577,29980,201706031800,57.0,61.0,47.0,14
9589,29980,201706040600,48.0,57.0,41.0,9
9601,29980,201706041800,49.0,61.0,47.0,9
9613,29980,201706050600,52.0,52.0,48.0,11
9625,29980,201706051800,50.0,54.0,49.0,10
9637,29980,201706060600,56.0,57.0,47.0,13
9649,29980,201706061800,62.0,68.0,56.0,17
9661,29980,201706070600,62.0,62.0,48.0,17
9673,29980,201706071800,65.0,70.0,61.0,18
9685,29980,201706080600,53.0,65.0,53.0,12
9697,29980,201706081800,53.0,57.0,52.0,12
9709,29980,201706090600,54.0,55.0,52.0,12
9721,29980,201706091800,58.0,66.0,54.0,14
9733,29980,201706100600,64.0,64.0,50.0,18
9745,29980,201706101800,62.0,69.0,62.0,17
9757,29980,201706110600,66.0,66.0,56.0,19
9769,29980,201706111800,60.0,71.0,60.0,16
9781,29980,201706120600,54.0,61.0,54.0,12
9793,29980,201706121800,55.0,56.0,53.0,13
9805,29980,201706130600,56.0,57.0,53.0,13
9817,29980,201706131800,52.0,65.0,52.0,11
9829,29980,201706140600,58.0,58.0,44.0,14
9841,29980,201706141800,64.0,69.0,58.0,18
9853,29980,201706150600,66.0,66.0,48.0,19
9865,29980,201706151800,60.0,68.0,60.0,16
9877,29980,201706160600,67.0,68.0,53.0,19
9889,29980,201706161800,68.0,73.0,67.0,20
9901,29980,201706170600,70.0,70.0,57.0,21
9913,29980,201706171800,67.0,76.0,67.0,19
9925,29980,201706180600,62.0,68.0,57.0,17
