,USAF,YR--MODAHRMN,TEMP,MAX,MIN,Celsius
18,28450,201705010600,31.0,34.0,31.0,-1
54,28450,201705011800,42.0,44.0,30.0,6
90,28450,201705020600,41.0,42.0,35.0,5
126,28450,201705021800,37.0,45.0,36.0,3
161,28450,201705030600,37.0,37.0,33.0,3
197,28450,201705031800,37.0,39.0,37.0,3
233,28450,201705040600,35.0,37.0,30.0,2
269,28450,201705041800,43.0,48.0,35.0,6
305,28450,201705050600,48.0,48.0,39.0,9
341,28450,201705051800,41.0,54.0,41.0,5
377,28450,201705060600,31.0,41.0,30.0,-1
413,28450,201705061800,33.0,35.0,31.0,1
449,28450,201705070600,31.0,33.0,27.0,-1
485,28450,201705071800,28.0,34.0,28.0,-2
521,28450,201705080600,29.0,29.0,20.0,-2
556,28450,201705081800,31.0,35.0,28.0,-1
592,28450,201705090600,30.0,31.0,27.0,-1
628,28450,201705091800,32.0,39.0,30.0,0
664,28450,201705100600,30.0,32.0,27.0,-1
700,28450,201705101800,31.0,35.0,30.0,-1
736,28450,201705110600,27.0,31.0,25.0,-3
772,28450,201705111800,33.0,35.0,27.0,1
808,28450,201705120600,29.0,33.0,26.0,-2
844,28450,201705121800,35.0,38.0,29.0,2
880,28450,201705130600,32.0,35.0,27.0,0
916,28450,201705131800,36.0,37.0,30.0,2
952,28450,201705140600,34.0,36.0,25.0,1
988,28450,201705141800,35.0,37.0,34.0,2
1023,28450,201705150600,31.0,35.0,27.0,-1
1059,28450,201705151800,40.0,40.0,31.0,4
1095,28450,201705160600,38.0,40.0,29.0,3
1131,28450,201705161800,41.0,46.0,38.0,5
1167,28450,201705170600,37.0,41.0,37.0,3
1203,28450,201705171800,38.0,38.0,36.0,3
1239,28450,201705180600,37.0,38.0,34.0,3
1275,28450,201705181800,41.0,53.0,36.0,5
1311,28450,201705190600,41.0,42.0,38.0,5
1347,28450,201705191800,46.0,48.0,41.0,8
1380,28450,201705200600,40.0,45.0,37.0,4
1416,28450,201705201800,42.0,45.0,38.0,6
1452,28450,201705210600,39.0,42.0,35.0,4
1488,28450,201705211800,48.0,50.0,39.0,9
1524,28450,201705220600,46.0,48.0,41.0,8
1560,28450,201705221800,52.0,54.0,45.0,11
1596,28450,201705230600,46.0,52.0,39.0,8
1632,28450,201705231800,45.0,48.0,43.0,7
1668,28450,201705240600,45.0,45.0,34.0,7
1704,28450,201705241800,54.0,55.0,44.0,12
1740,28450,201705250600,47.0,53.0,40.0,8
1776,28450,201705251800,48.0,59.0,47.0,9
1811,28450,201705260600,38.0,48.0,34.0,3
1847,28450,201705261800,40.0,44.0,37.0,4
1883,28450,201705270600,37.0,41.0,31.0,3
1919,28450,201705271800,40.0,41.0,36.0,4
1955,28450,201705280600,37.0,40.0,33.0,3
1991,28450,201705281800,33.0,38.0,33.0,1
2027,28450,201705290600,40.0,40.0,32.0,4
2060,28450,201705291800,42.0,44.0,39.0,6
2096,28450,201705300600,41.0,42.0,31.0,5
2132,28450,201705301800,46.0,49.0,40.0,8
2168,28450,201705310600,36.0,45.0,33.0,2
2204,28450,201705311800,42.0,46.0,36.0,6
2240,28450,201706010600,34.0,42.0,30.0,1
2276,28450,201706011800,36.0,44.0,34.0,2
2312,28450,201706020600,36.0,36.0,32.0,2
2348,28450,201706021800,38.0,43.0,36.0,3
2384,28450,201706030600,36.0,38.0,35.0,2
2420,28450,201706031800,41.0,43.0,35.0,5
2456,28450,201706040600,37.0,41.0,36.0,3
2492,28450,201706041800,41.0,43.0,36.0,5
2528,28450,201706050600,39.0,42.0,35.0,4
2564,28450,201706051800,50.0,53.0,39.0,10
2600,28450,201706060600,49.0,51.0,42.0,9
2636,28450,201706061800,54.0,54.0,48.0,12
2672,28450,201706070600,57.0,57.0,46.0,14
2708,28450,201706071800,69.0,69.0,57.0,21
2744,28450,201706080600,66.0,69.0,54.0,19
2780,28450,201706081800,71.0,73.0,66.0,22
2816,28450,201706090600,65.0,71.0,55.0,18
2852,28450,201706091800,69.0,74.0,65.0,21
2888,28450,201706100600,64.0,69.0,56.0,18
2924,28450,201706101800,65.0,70.0,64.0,18
2960,28450,201706110600,55.0,65.0,50.0,13
2996,28450,201706111800,53.0,58.0,53.0,12
3032,28450,201706120600,49.0,53.0,44.0,9
3068,28450,201706121800,60.0,63.0,49.0,16
3104,28450,201706130600,52.0,60.0,47.0,11
3140,28450,201706131800,57.0,59.0,51.0,14
3176,28450,201706140600,51.0,57.0,44.0,11
3212,28450,201706141800,64.0,64.0,51.0,18
3246,28450,201706150600,62.0,64.0,50.0,17
3282,28450,201706151800,64.0,69.0,62.0,18
3318,28450,201706160600,60.0,63.0,51.0,16
3354,28450,201706161800,69.0,71.0,60.0,21
3390,28450,201706170600,58.0,70.0,55.0,14
3426,28450,201706171800,65.0,68.0,58.0,18
3461,28450,201706180600,55.0,65.0,53.0,13
